Complaint Id,Randomized Officer Id,CCRB Substantiated Officer Disposition,Board Discipline Recommendation,Non-APU NYPD Penalty Report Date,Officer is_APU,APU CCRB Trial Recommended Penalty,APU Trial Commissioner Recommended Penalty,APU Plea Agreed Penalty,APU Case Status,APU Closing Date,NYPD Officer Penalty
200002190,51401,Substantiated (Charges),,,No,,,,,,
200002392,9463,Substantiated (Charges),,,No,,,,,,
200002488,18799,Substantiated (Charges),,,No,,,,,,
200002493,64593,Substantiated (Charges),,,No,,,,,,
200002499,59217,Substantiated (Charges),,,No,,,,,,
200002629,34198,Substantiated (Command Discipline),,,No,,,,,,
200002734,11736,Substantiated (Charges),,,No,,,,,,
200002790,652,Substantiated (Charges),,,No,,,,,,
200002797,65130,Substantiated (Charges),,01/28/2003,No,,,,,,
200002804,49057,Substantiated (Command Discipline),,,No,,,,,,
200002861,80552,Substantiated (Charges),,,No,,,,,,
200002877,24567,Substantiated (Charges),,,No,,,,,,
200002942,16494,Substantiated (Command Discipline),,,No,,,,,,
200002997,25594,Substantiated (Command Discipline),,,No,,,,,,
200002997,42151,Substantiated (Command Discipline),,,No,,,,,,
200002997,50189,Substantiated (Command Discipline),,,No,,,,,,
200002997,67595,Substantiated (Command Discipline),,,No,,,,,,
200002997,73845,Substantiated (Command Discipline),,,No,,,,,,
200003024,36927,Substantiated (Charges),,11/28/2003,No,,,,,,Vacation: 15 days
200003039,25099,Substantiated (Charges),,05/28/2003,No,,,,,,
200003039,41957,Substantiated (Charges),,05/28/2003,No,,,,,,
200003082,55479,Substantiated (Charges),,,No,,,,,,
200003084,59582,Substantiated (Charges),,,No,,,,,,
200003096,36724,Substantiated (Charges),,,No,,,,,,
200003105,18651,Substantiated (Charges),,,No,,,,,,
200003140,33419,Substantiated (Command Discipline),,,No,,,,,,
200003151,54210,Substantiated (Charges),,,No,,,,,,
200003162,63995,Substantiated (Command Discipline),,,No,,,,,,
200003220,34499,Substantiated (Charges),,10/28/2003,No,,,,,,W&A (Verbally)
200003237,11011,Substantiated (Instructions),,,No,,,,,,
200003254,55295,Substantiated (Instructions),,,No,,,,,,
200003366,36415,Substantiated (Instructions),,,No,,,,,,
200003392,79800,Substantiated (Command Discipline),,,No,,,,,,
200003415,19439,Substantiated (Charges),,,No,,,,,,
200003420,6827,Substantiated (Command Discipline),,,No,,,,,,
200003511,3576,Substantiated (Command Discipline),,,No,,,,,,
200003530,11736,Substantiated (Charges),,02/28/2003,No,,,,,,
200003530,12003,Substantiated (Charges),,02/28/2003,No,,,,,,
200003535,73479,Substantiated (Command Discipline),,,No,,,,,,
200003570,78956,Substantiated (Charges),,03/28/2003,No,,,,,,
200003646,42916,Substantiated (Command Discipline),,06/28/2003,No,,,,,,
200003646,59315,Substantiated (Command Discipline),,06/28/2003,No,,,,,,
200003690,56990,Substantiated (Charges),,,No,,,,,,
200003741,43814,Substantiated (Command Discipline),,,No,,,,,,
200003741,77155,Substantiated (Command Discipline),,,No,,,,,,
200003741,79337,Substantiated (Command Discipline),,,No,,,,,,
200003802,78768,Substantiated (Charges),,,No,,,,,,
200003842,9355,Substantiated (Charges),,01/28/2003,No,,,,,,
200003842,41106,Substantiated (Charges),,01/28/2003,No,,,,,,
200003893,69537,Substantiated (Charges),,,No,,,,,,
200003920,71986,Substantiated (Charges),,07/28/2003,No,,,,,,
200003961,86753,Substantiated (Command Discipline),,,No,,,,,,
200003961,86770,Substantiated (Command Discipline),,,No,,,,,,
200004106,42396,Substantiated (Command Discipline),,,No,,,,,,
200004198,25206,Substantiated (Charges),,,No,,,,,,
200004222,78807,Substantiated (Charges),,,No,,,,,,
200004225,57582,Substantiated (Charges),,,No,,,,,,
200004270,3185,Substantiated (Charges),,,No,,,,,,
200004341,25680,Substantiated (Command Discipline),,,No,,,,,,
200004344,24278,Substantiated (Charges),,,No,,,,,,
200004469,910,Substantiated (Charges),,,No,,,,,,
200004469,40254,Substantiated (Charges),,,No,,,,,,
200004492,33417,Substantiated (Charges),,,No,,,,,,
200004614,53539,Substantiated (Charges),,,No,,,,,,
200004614,58274,Substantiated (Charges),,,No,,,,,,
200004729,1428,Substantiated (Charges),,02/28/2003,No,,,,,,Vacation: 10 days
200004789,31501,Substantiated (Charges),,,No,,,,,,
200004789,31516,Substantiated (Charges),,,No,,,,,,
200004809,60023,Substantiated (Command Discipline),,,No,,,,,,
200004811,20355,Substantiated (Charges),,,No,,,,,,
200004833,61298,Substantiated (Charges),,07/28/2003,No,,,,,,
200004838,44540,Substantiated (Instructions),,,No,,,,,,
200004893,15874,Substantiated (Instructions),,11/28/2003,No,,,,,,
200004999,19002,Substantiated (Charges),,06/28/2003,No,,,,,,
200005177,72495,Substantiated (Charges),,02/28/2003,No,,,,,,
200005253,22799,Substantiated (Charges),,,No,,,,,,
200005408,35389,Substantiated (Charges),,,No,,,,,,
200005518,30042,Substantiated (Instructions),,,No,,,,,,
200005571,51380,Substantiated (Charges),,,No,,,,,,
200005582,3163,Substantiated (Charges),,,No,,,,,,
200005582,7433,Substantiated (Charges),,,No,,,,,,
200005630,58783,Substantiated (Charges),,06/28/2002,No,,,,,,Vacation: 8 days
200005691,24458,Substantiated (Command Discipline),,,No,,,,,,
200005751,33519,Substantiated (Charges),,02/28/2003,No,,,,,,
200005751,40798,Substantiated (Charges),,02/28/2003,No,,,,,,
200005820,5198,Substantiated (Charges),,,No,,,,,,
200005908,47628,Substantiated (Command Discipline),,,No,,,,,,
200005920,7874,Substantiated (Charges),,10/28/2003,No,,,,,,Vacation: 10 days
200005942,910,Substantiated (Command Discipline),,,No,,,,,,
200005985,30074,Substantiated (Command Discipline),,,No,,,,,,
200005985,30084,Substantiated (Command Discipline),,,No,,,,,,
200006144,43834,Substantiated (Command Discipline),,,No,,,,,,
200006144,69862,Substantiated (Command Discipline),,,No,,,,,,
200006192,68955,Substantiated (Charges),,01/28/2003,No,,,,,,Vacation: 30 days
200006333,47802,Substantiated (Charges),,,No,,,,,,
200006333,60181,Substantiated (Charges),,,No,,,,,,
200006386,57292,Substantiated (Charges),,11/28/2003,No,,,,,,
200006463,8650,Substantiated (Charges),,,No,,,,,,
200006463,86939,Substantiated (Charges),,,No,,,,,,
200006463,87133,Substantiated (Charges),,,No,,,,,,
200006479,60347,Substantiated (Charges),,04/28/2003,No,,,,,,
200006527,46235,Substantiated (Command Discipline),,,No,,,,,,
200006530,46159,Substantiated (Charges),,,No,,,,,,
200006530,64642,Substantiated (Charges),,,No,,,,,,
200006530,67187,Substantiated (Charges),,,No,,,,,,
200006604,70973,Substantiated (Instructions),,,No,,,,,,
200006606,8191,Substantiated (Charges),,12/28/2003,No,,,,,,No penalty
200006672,40575,Substantiated (Charges),,,No,,,,,,
200006687,18458,Substantiated (Charges),,,No,,,,,,
200006722,42882,Substantiated (Instructions),,03/28/2002,No,,,,,,Instructions
200006722,61389,Substantiated (Instructions),,06/28/2003,No,,,,,,
200007001,43098,Substantiated (Charges),,06/28/2003,No,,,,,,Vacation: 25 days
200007022,1202,Substantiated (Command Discipline),,,No,,,,,,
200007054,15161,Substantiated (Charges),,,No,,,,,,
200007054,43019,Substantiated (Charges),,,No,,,,,,
200007068,45396,Substantiated (Charges),,04/28/2003,No,,,,,,
200007068,48105,Substantiated (Charges),,04/28/2003,No,,,,,,
200007068,70401,Substantiated (Charges),,04/28/2003,No,,,,,,
200007068,70492,Substantiated (Charges),,03/28/2003,No,,,,,,
200007068,81658,Substantiated (Charges),,04/28/2003,No,,,,,,
200007099,81902,Substantiated (Charges),,,No,,,,,,
200007136,14663,Substantiated (Charges),,03/28/2003,No,,,,,,
200007217,4920,Substantiated (Charges),,02/28/2004,No,,,,,,Vacation: 10 days
200007217,55295,Substantiated (Charges),,02/28/2004,No,,,,,,Vacation: 10 days
200007217,80423,Substantiated (Charges),,02/28/2004,No,,,,,,Vacation: 10 days
200007269,80282,Substantiated (Charges),,01/28/2004,No,,,,,,Vacation: 30 days
200007297,37921,Substantiated (Charges),,02/28/2003,No,,,,,,Vacation: 20 days
200007314,17198,Substantiated (Command Discipline),,,No,,,,,,
200007314,73475,Substantiated (Command Discipline),,,No,,,,,,
200007316,58961,Substantiated (Charges),,,No,,,,,,
200007316,59041,Substantiated (Charges),,,No,,,,,,
200007329,55427,Substantiated (Charges),,,No,,,,,,
200007329,66310,Substantiated (Charges),,,No,,,,,,
200007339,11262,Substantiated (Command Discipline),,,No,,,,,,
200007367,10057,Substantiated (Charges),,,No,,,,,,
200007440,42157,Substantiated (Charges),,04/28/2003,No,,,,,,W&A (Verbally)
200007483,47820,Substantiated (Charges),,03/28/2004,No,,,,,,Suspension: 45 days
200007558,49792,Substantiated (Charges),,,No,,,,,,
200007558,86428,Substantiated (Charges),,,No,,,,,,
200007608,9636,Substantiated (Charges),,,No,,,,,,
200007615,31118,Substantiated (Charges),,,No,,,,,,
200007675,41980,Substantiated (Command Discipline),,,No,,,,,,
200007675,73810,Substantiated (Command Discipline),,,No,,,,,,
200007675,73832,Substantiated (Command Discipline),,,No,,,,,,
200007726,44572,Substantiated (Charges),,,No,,,,,,
200007761,53491,Substantiated (Charges),,,No,,,,,,
200007872,2621,Substantiated (Command Discipline),,11/28/2003,No,,,,,,W&A (Written)
200007879,34785,Substantiated (Charges),,,No,,,,,,
200007886,29854,Substantiated (Charges),,,No,,,,,,
200007886,62036,Substantiated (Charges),,,No,,,,,,
200007914,50348,Substantiated (Command Discipline),,,No,,,,,,
200008020,80353,Substantiated (Command Discipline),,09/28/2003,No,,,,,,Instructions
200008040,33464,Substantiated (Charges),,07/28/2003,No,,,,,,Instructions
200008040,59425,Substantiated (Charges),,07/28/2003,No,,,,,,Instructions
200008074,12513,Substantiated (Charges),,,No,,,,,,
200008075,29321,Substantiated (Instructions),,,No,,,,,,
200008160,53411,Substantiated (Charges),,,No,,,,,,
200008180,46816,Substantiated (Charges),,03/28/2003,No,,,,,,
200008315,69295,Substantiated (Charges),,04/28/2003,No,,,,,,Instructions
200008401,44124,Substantiated (Charges),,,No,,,,,,
200008401,75549,Substantiated (Charges),,,No,,,,,,
200008438,84841,Substantiated (Command Discipline),,,No,,,,,,
200008519,52460,Substantiated (Charges),,03/28/2003,No,,,,,,
200008543,29620,Substantiated (Charges),,09/28/2003,No,,,,,,Vacation: 30 days
200008543,73458,Substantiated (Charges),,09/28/2003,No,,,,,,
200008631,69184,Substantiated (Charges),,08/28/2003,No,,,,,,
200008637,11041,Substantiated (Charges),,,No,,,,,,
200008656,14549,Substantiated (Command Discipline),,,No,,,,,,
200008665,3918,Substantiated (Command Discipline),,12/28/2002,No,,,,,,Instructions
200008665,4187,Substantiated (Command Discipline),,06/28/2003,No,,,,,,Command Discipline - B
200008712,1489,Substantiated (Charges),,05/28/2004,No,,,,,,Instructions
200008752,64937,Substantiated (Charges),,,No,,,,,,
200008759,60315,Substantiated (Charges),,,No,,,,,,
200008769,53570,Substantiated (Command Discipline),,02/28/2003,No,,,,,,Command Discipline - A
200008769,66150,Substantiated (Command Discipline),,02/28/2003,No,,,,,,Command Discipline - A
200008810,18458,Substantiated (Charges),,,No,,,,,,
200008810,34727,Substantiated (Charges),,,No,,,,,,
200008810,59375,Substantiated (Charges),,,No,,,,,,
200008906,11167,Substantiated (Command Discipline),,,No,,,,,,
200008906,53528,Substantiated (Command Discipline),,,No,,,,,,
200008986,71687,Substantiated (Charges),,,No,,,,,,
200008986,74105,Substantiated (Charges),,,No,,,,,,
200100045,12309,Substantiated (Instructions),,,No,,,,,,
200100162,18799,Substantiated (Charges),,09/28/2003,No,,,,,,Vacation: 10 days
200100174,37701,Substantiated (Instructions),,,No,,,,,,
200100194,13806,Substantiated (Command Discipline),,,No,,,,,,
200100194,17514,Substantiated (Command Discipline),,,No,,,,,,
200100194,47577,Substantiated (Command Discipline),,,No,,,,,,
200100237,36575,Substantiated (Charges),,,No,,,,,,
200100301,11442,Substantiated (Charges),,02/28/2004,No,,,,,,Vacation: 20 days
200100324,42882,Substantiated (Charges),,,No,,,,,,
200100351,35360,Substantiated (Charges),,,No,,,,,,
200100446,59108,Substantiated (Charges),,,No,,,,,,
200100452,5114,Substantiated (Charges),,09/28/2003,No,,,,,,
200100452,11255,Substantiated (Charges),,09/28/2003,No,,,,,,
200100541,59315,Substantiated (Charges),,06/28/2003,No,,,,,,Vacation: 5 days
200100569,11972,Substantiated (Charges),,09/28/2003,No,,,,,,
200100595,19840,Substantiated (Charges),,,No,,,,,,
200100693,60914,Substantiated (Charges),,,No,,,,,,
200100695,3442,Substantiated (Charges),,,No,,,,,,
200100711,1555,Substantiated (Charges),,06/28/2003,No,,,,,,Vacation: 5 days
200100716,43787,Substantiated (Charges),,03/28/2003,No,,,,,,Vacation: 20 days
200100741,39746,Substantiated (Charges),,,No,,,,,,
200100745,53204,Substantiated (Charges),,03/28/2003,No,,,,,,
200100755,52781,Substantiated (Charges),,,No,,,,,,
200100784,21384,Substantiated (Charges),,03/28/2003,No,,,,,,
200100784,77377,Substantiated (Charges),,03/28/2003,No,,,,,,
200100793,33519,Substantiated (Charges),,,No,,,,,,
200100793,77673,Substantiated (Command Discipline),,,No,,,,,,
200100815,37908,Substantiated (Charges),,06/28/2003,No,,,,,,
200100815,53521,Substantiated (Charges),,06/28/2003,No,,,,,,
200100854,37893,Substantiated (Command Discipline),,09/28/2003,No,,,,,,
200100862,13723,Substantiated (Charges),,,No,,,,,,
200100880,46401,Substantiated (Command Discipline),,,No,,,,,,
200100950,47047,Substantiated (Charges),,,No,,,,,,
200100950,47052,Substantiated (Charges),,09/28/2003,No,,,,,,
200100963,65815,Substantiated (Charges),,,No,,,,,,
200101019,61998,Substantiated (Instructions),,,No,,,,,,
200101024,53843,Substantiated (Charges),,,No,,,,,,
200101031,40486,Substantiated (Command Discipline),,,No,,,,,,
200101031,59170,Substantiated (Command Discipline),,,No,,,,,,
200101050,39943,Substantiated (Charges),,09/28/2003,No,,,,,,Command Discipline - B
200101057,81305,Substantiated (Charges),,,No,,,,,,
200101092,59587,Substantiated (Charges),,06/28/2003,No,,,,,,Instructions
200101092,59630,Substantiated (Charges),,06/28/2003,No,,,,,,
200101171,86822,Substantiated (Command Discipline),,,No,,,,,,
200101203,11552,Substantiated (Charges),,01/28/2003,No,,,,,,
200101204,49499,Substantiated (Command Discipline),,,No,,,,,,
200101221,73888,Substantiated (Charges),,02/28/2006,No,,,,,,Instructions
200101224,65993,Substantiated (Charges),,,No,,,,,,
200101257,86499,Substantiated (Command Discipline),,,No,,,,,,
200101327,20015,Substantiated (Charges),,,No,,,,,,
200101425,21366,Substantiated (Charges),,04/28/2004,No,,,,,,
200101425,21426,Substantiated (Charges),,06/28/2003,No,,,,,,
200101464,47095,Substantiated (Command Discipline),,,No,,,,,,
200101490,86417,Substantiated (Charges),,07/28/2003,No,,,,,,Vacation: 10 days
200101490,87139,Substantiated (Charges),,07/28/2003,No,,,,,,Vacation: 15 days
200101504,41087,Substantiated (Charges),,,No,,,,,,
200101680,52248,Substantiated (Charges),,09/28/2003,No,,,,,,
200101696,65007,Substantiated (Command Discipline),,01/28/2004,No,,,,,,Command Discipline - A
200101755,65113,Substantiated (Charges),,,No,,,,,,
200101758,8601,Substantiated (Command Discipline),,05/28/2004,No,,,,,,No penalty
200101759,60232,Substantiated (Charges),,10/28/2003,No,,,,,,
200101759,68683,Substantiated (Charges),,10/28/2003,No,,,,,,
200101764,43809,Substantiated (Charges),,,No,,,,,,
200101764,60022,Substantiated (Charges),,,No,,,,,,
200101764,65633,Substantiated (Charges),,,No,,,,,,
200101789,16505,Substantiated (Instructions),,,No,,,,,,
200101798,25376,Substantiated (Charges),,,No,,,,,,
200101798,34428,Substantiated (Charges),,,No,,,,,,
200101893,61051,Substantiated (Charges),,,No,,,,,,
200101947,22432,Substantiated (Charges),,11/28/2003,No,,,,,,Vacation: 15 days
200101971,25758,Substantiated (Charges),,,No,,,,,,
200102054,10719,Substantiated (Instructions),,12/28/2003,No,,,,,,No penalty
200102064,35357,Substantiated (Instructions),,,No,,,,,,
200102064,48677,Substantiated (Instructions),,,No,,,,,,
200102070,2551,Substantiated (Charges),,,No,,,,,,
200102083,52392,Substantiated (Instructions),,07/28/2003,No,,,,,,
200102139,80529,Substantiated (Charges),,,No,,,,,,
200102148,34725,Substantiated (Charges),,,No,,,,,,
200102148,55502,Substantiated (Charges),,,No,,,,,,
200102218,60930,Substantiated (Charges),,09/28/2003,No,,,,,,
200102269,6362,Substantiated (Charges),,,No,,,,,,
200102283,80282,Substantiated (Charges),,01/28/2004,No,,,,,,No penalty
200102296,33464,Substantiated (Charges),,07/28/2003,No,,,,,,
200102296,59425,Substantiated (Charges),,07/28/2003,No,,,,,,
200102340,19026,Substantiated (Charges),,08/28/2003,No,,,,,,Vacation: 30 days
200102357,4005,Substantiated (Charges),,,No,,,,,,
200102357,37017,Substantiated (Charges),,,No,,,,,,
200102401,61967,Substantiated (Charges),,09/28/2003,No,,,,,,Vacation: 12 days
200102422,82922,Substantiated (Charges),,01/28/2003,No,,,,,,Vacation: 10 days
200102592,29620,Substantiated (Charges),,09/28/2003,No,,,,,,
200102592,61281,Substantiated (Charges),,09/28/2003,No,,,,,,
200102661,37660,Substantiated (Charges),,,No,,,,,,
200102716,11965,Substantiated (Command Discipline),,07/28/2003,No,,,,,,
200102814,20266,Substantiated (Charges),,,No,,,,,,
200102821,47642,Substantiated (Charges),,08/28/2003,No,,,,,,
200102850,52393,Substantiated (Command Discipline),,06/28/2003,No,,,,,,
200102855,86662,Substantiated (Charges),,04/28/2003,No,,,,,,
200102857,49047,Substantiated (Charges),,05/28/2003,No,,,,,,
200102857,59557,Substantiated (Charges),,05/28/2003,No,,,,,,
200102907,29620,Substantiated (Charges),,09/28/2003,No,,,,,,Vacation: 30 days
200102934,42568,Substantiated (Instructions),,,No,,,,,,
200102954,79392,Substantiated (Instructions),,,No,,,,,,
200102975,4568,Substantiated (Command Discipline),,,No,,,,,,
200103040,41382,Substantiated (Instructions),,,No,,,,,,
200103085,24000,Substantiated (Charges),,08/28/2003,No,,,,,,Vacation: 20 days
200103085,24278,Substantiated (Charges),,08/28/2003,No,,,,,,Vacation: 20 days
200103087,15878,Substantiated (Charges),,,No,,,,,,
200103087,67877,Substantiated (Charges),,07/28/2004,No,,,,,,No penalty
200103249,43030,Substantiated (Charges),,05/28/2003,No,,,,,,
200103336,87691,Substantiated (Charges),,03/28/2003,No,,,,,,Command Discipline - A
200103340,60300,Substantiated (Command Discipline),,,No,,,,,,
200103340,61885,Substantiated (Command Discipline),,,No,,,,,,
200103340,80245,Substantiated (Command Discipline),,,No,,,,,,
200103371,24441,Substantiated (Charges),,12/28/2003,No,,,,,,Vacation: 5 days
200103394,61529,Substantiated (Command Discipline),,,No,,,,,,
200103398,58564,Substantiated (Command Discipline),,07/28/2003,No,,,,,,Vacation: 5 days
200103436,65750,Substantiated (Instructions),,,No,,,,,,
200103492,69243,Substantiated (Charges),,04/28/2003,No,,,,,,Vacation: 10 days
200103501,73888,Substantiated (Command Discipline),,02/28/2006,No,,,,,,Instructions
200103530,30389,Substantiated (Charges),,07/28/2003,No,,,,,,
200103530,30769,Substantiated (Charges),,07/28/2003,No,,,,,,
200103605,43273,Substantiated (Charges),,02/28/2003,No,,,,,,
200103714,4187,Substantiated (Command Discipline),,06/28/2003,No,,,,,,Command Discipline - B
200103746,65814,Substantiated (Instructions),,,No,,,,,,
200103750,45931,Substantiated (Charges),,05/28/2003,No,,,,,,Vacation: 15 days
200103830,37025,Substantiated (Charges),,,No,,,,,,
200103830,39505,Substantiated (Charges),,,No,,,,,,
200103833,47054,Substantiated (Charges),,06/28/2003,No,,,,,,Command Discipline - B
200103838,37025,Substantiated (Command Discipline),,07/28/2003,No,,,,,,Vacation: 15 days
200103971,61135,Substantiated (Charges),,,No,,,,,,
200103989,26640,Substantiated (Charges),,04/28/2003,No,,,,,,Command Discipline - A
200103989,61241,Substantiated (Charges),,04/28/2003,No,,,,,,Command Discipline - A
200104018,40730,Substantiated (Command Discipline),,09/28/2003,No,,,,,,
200104018,53302,Substantiated (Charges),,09/28/2003,No,,,,,,
200104039,437,Substantiated (Command Discipline),,01/28/2003,No,,,,,,
200104084,60701,Substantiated (Charges),,05/28/2004,No,,,,,,No penalty
200104161,16797,Substantiated (Command Discipline),,08/28/2003,No,,,,,,Vacation: 30 days
200104181,29138,Substantiated (Charges),,08/28/2003,No,,,,,,No penalty
200104181,59224,Substantiated (Charges),,08/28/2003,No,,,,,,
200104292,6757,Substantiated (Charges),,,No,,,,,,
200104371,59357,Substantiated (Charges),,02/28/2004,No,,,,,,Vacation: 10 days
200104371,59402,Substantiated (Charges),,02/28/2004,No,,,,,,Vacation: 10 days
200104424,7973,Substantiated (Instructions),,,No,,,,,,
200104448,4920,Substantiated (Charges),,02/28/2004,No,,,,,,Vacation: 10 days
200104448,18023,Substantiated (Charges),,08/28/2004,No,,,,,,No penalty
200104455,86673,Substantiated (Instructions),,,No,,,,,,
200104456,59955,Substantiated (Command Discipline),,,No,,,,,,
200104507,37025,Substantiated (Charges),,07/28/2003,No,,,,,,Vacation: 15 days
200104507,77703,Substantiated (Charges),,10/28/2003,No,,,,,,
200104702,47643,Substantiated (Charges),,07/28/2003,No,,,,,,
200104702,63830,Substantiated (Charges),,07/28/2003,No,,,,,,
200104706,37046,Substantiated (Charges),,06/28/2003,No,,,,,,Vacation: 10 days
200104756,29334,Substantiated (Charges),,09/28/2003,No,,,,,,Vacation: 5 days
200104756,29396,Substantiated (Charges),,09/28/2003,No,,,,,,
200104756,29594,Substantiated (Charges),,09/28/2003,No,,,,,,
200104766,23433,Substantiated (Command Discipline),,11/28/2004,No,,,,,,No penalty
200104993,36782,Substantiated (Command Discipline),,01/28/2003,No,,,,,,Command Discipline - A
200105039,86068,Substantiated (Command Discipline),,01/28/2004,No,,,,,,W&A (Verbally)
200105076,64994,Substantiated (Charges),,09/28/2003,No,,,,,,
200105076,81853,Substantiated (Charges),,05/28/2003,No,,,,,,
200105076,81864,Substantiated (Charges),,09/28/2003,No,,,,,,
200105083,8699,Substantiated (Charges),,05/28/2003,No,,,,,,Vacation: 10 days
200105084,29620,Substantiated (Charges),,09/28/2003,No,,,,,,
200105084,61281,Substantiated (Charges),,09/28/2003,No,,,,,,
200105122,3952,Substantiated (Charges),,07/28/2004,No,,,,,,
200105122,42681,Substantiated (Charges),,07/28/2004,No,,,,,,Vacation: 2 days
200105164,42797,Substantiated (Charges),,11/28/2004,No,,,,,,Vacation: 5 days
200105164,57045,Substantiated (Charges),,04/28/2004,No,,,,,,No penalty
200105189,35196,Substantiated (Charges),,,No,,,,,,
200105489,26971,Substantiated (Charges),,01/28/2005,No,,,,,,No penalty
200105724,47820,Substantiated (Charges),,03/28/2004,No,,,,,,Suspension: 45 days
200105845,79552,Substantiated (Charges),,,No,,,,,,
200105895,53583,Substantiated (Charges),,,No,,,,,,
200105956,60176,Substantiated (Charges),,04/28/2003,No,,,,,,
200105956,60218,Substantiated (Charges),,04/28/2003,No,,,,,,
200105956,60275,Substantiated (Charges),,04/28/2003,No,,,,,,
200106024,10206,Substantiated (Charges),,,No,,,,,,
200106046,13103,Substantiated (Charges),,04/28/2004,No,,,,,,No penalty
200106074,40827,Substantiated (Charges),,01/28/2003,No,,,,,,Instructions
200106083,80294,Substantiated (Charges),,10/28/2003,No,,,,,,Vacation: 20 days
200106105,40262,Substantiated (Charges),,04/28/2003,No,,,,,,Vacation: 20 days
200106134,7843,Substantiated (Charges),,12/28/2004,No,,,,,,No penalty
200106370,19451,Substantiated (Charges),,01/28/2003,No,,,,,,Instructions
200106370,53407,Substantiated (Charges),,01/28/2003,No,,,,,,Instructions
200106490,59306,Substantiated (Command Discipline),,01/28/2003,No,,,,,,Command Discipline - B
200106490,68794,Substantiated (Command Discipline),,01/28/2003,No,,,,,,Command Discipline - B
200106498,80487,Substantiated (Charges),,10/28/2003,No,,,,,,Vacation: 10 days
200106568,3965,Substantiated (Charges),,11/28/2004,No,,,,,,
